@W: FA406 |Environment variable QUARTUS_ROOTDIR not set. Cannot determine PAR version.
@W: FA352 |Not using the Clearbox flow might affect timing correlation and Quality of Results (QoR).
@W: BN132 :"/home/ted4152/Spring24/Facepga/MobileNet/hardware/sv/conv/window.sv":136:4:136:12|Removing sequential instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s6[16][7:0] because it is equivalent to instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s5[30][7:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/ted4152/Spring24/Facepga/MobileNet/hardware/sv/conv/window.sv":136:4:136:12|Removing sequential instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s5[30][7:0] because it is equivalent to instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s4[58][7:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/ted4152/Spring24/Facepga/MobileNet/hardware/sv/conv/window.sv":136:4:136:12|Removing sequential instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s3[114][7:0] because it is equivalent to instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s4[58][7:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/ted4152/Spring24/Facepga/MobileNet/hardware/sv/conv/window.sv":136:4:136:12|Removing sequential instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s2[226][7:0] because it is equivalent to instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s4[58][7:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/ted4152/Spring24/Facepga/MobileNet/hardware/sv/conv/window.sv":136:4:136:12|Removing sequential instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s1[450][7:0] because it is equivalent to instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s4[58][7:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/ted4152/Spring24/Facepga/MobileNet/hardware/sv/conv/window.sv":136:4:136:12|Removing sequential instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s2[225][7:0] because it is equivalent to instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s1[449][7:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/ted4152/Spring24/Facepga/MobileNet/hardware/sv/conv/window.sv":136:4:136:12|Removing sequential instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s3[113][7:0] because it is equivalent to instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s1[449][7:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/ted4152/Spring24/Facepga/MobileNet/hardware/sv/conv/window.sv":136:4:136:12|Removing sequential instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s6[15][7:0] because it is equivalent to instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s1[449][7:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"/home/ted4152/Spring24/Facepga/MobileNet/hardware/sv/conv/window.sv":136:4:136:12|Removing sequential instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s5[29][7:0] because it is equivalent to instance genblk1[3].convolutional_layer.window_inst.shift_buffer_s1[449][7:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
